Activity Type,Date,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Decompression,Weight,Current,Surface Conditions,Water Type
cycling,2018-06-26 06:29:48,49.29,686,1:54:13,131,160,2.1,--,--,"25,9","55,4",274,286,"0,00","0,0","0,0",--,--,--,--,--,--,"0,0",--,--,--,--,--,--,--,0:00,"0,0",--,0:00,No,--,--,--,--
running,2018-06-24 08:43:56,8.01,434,44:49,149,173,2.9,170,178,5:36,4:56,37,40,"1,05","0,0","0,0",--,--,--,--,--,--,"0,0",--,--,--,--,--,--,--,0:00,"0,0",--,0:00,No,--,--,--,--
running,2018-06-23 07:46:22,14.08,716,1:11:59,159,191,3.6,174,243,5:07,4:18,39,37,"1,12","0,0","0,0",--,--,--,--,--,--,"0,0",--,--,--,--,--,--,--,0:00,"0,0",--,0:00,No,--,--,--,--
running,2018-06-21 06:46:51,10.04,598,50:14,172,194,4.3,176,184,5:00,4:25,30,32,"1,14","0,0","0,0",--,--,--,--,--,--,"0,0",--,--,--,--,--,--,--,0:00,"0,0",--,0:00,No,--,--,--,--
cycling,2018-06-20 07:08:39,57.32,871,2:09:11,142,181,2.9,--,--,"26,6","59,5",454,497,"0,00","0,0","0,0",--,--,--,--,--,--,"0,0",--,--,--,--,--,--,--,0:00,"0,0",--,0:00,No,--,--,--,--
running,2018-06-19 18:00:18,5.47,305,30:02,151,166,2.8,173,177,5:29,4:59,17,13,"1,06","0,0","0,0",--,--,--,--,--,--,"0,0",--,--,--,--,--,--,--,0:00,"0,0",--,0:00,No,--,--,--,--
cycling,2018-06-17 08:29:42,48.48,671,1:48:57,132,156,2.1,--,--,"26,7","38,4",120,114,"0,00","0,0","0,0",--,--,--,--,--,--,"0,0",--,--,--,--,--,--,--,0:00,"0,0",--,0:00,No,--,--,--,--
running,2018-06-15 16:18:58,2.08,108,10:23,153,181,2,183,188,4:59,4:41,12,12,"1,10","0,0","0,0",--,--,--,--,--,--,"0,0",--,--,--,--,--,--,--,0:00,"0,0",--,0:00,No,--,--,--,--
cycling,2018-06-15 15:18:18,25.34,447,56:51,137,165,2.2,--,--,"26,7","39,2",72,67,"0,00","0,0","0,0",--,--,--,--,--,--,"0,0",--,--,--,--,--,--,--,0:00,"0,0",--,0:00,No,--,--,--,--
cycling,2018-06-15 08:25:54,5.05,75,14:43,110,131,1.1,--,--,"20,6","31,1",8,41,"0,00","0,0","0,0",--,--,--,--,--,--,"0,0",--,--,--,--,--,--,--,0:00,"0,0",--,0:00,No,--,--,--,--
running,2018-06-13 08:38:33,4.58,247,25:52,148,173,2.5,174,200,5:39,3:57,14,11,"1,01","0,0","0,0",--,--,--,--,--,--,"0,0",--,--,--,--,--,--,--,0:00,"0,0",--,0:00,No,--,--,--,--
cycling,2018-06-12 18:44:02,9.28,210,21:02,155,176,2.5,--,--,"26,5","35,3",13,16,"0,00","0,0","0,0",--,--,--,--,--,--,"0,0",--,--,--,--,--,--,--,0:00,"0,0",--,0:00,No,--,--,--,--
cycling,2018-06-12 18:10:21,10.8,215,17:48,176,207,3.2,--,--,"36,4","43,4",11,24,"0,00","0,0","0,0",--,--,--,--,--,--,"0,0",--,--,--,--,--,--,--,0:00,"0,0",--,0:00,No,--,--,--,--
cycling,2018-06-12 16:28:39,38.19,733,1:28:24,145,182,2.5,--,--,"25,9","41,1",89,70,"0,00","0,0","0,0",--,--,--,--,--,--,"0,0",--,--,--,--,--,--,--,0:00,"0,0",--,0:00,No,--,--,--,--
cycling,2018-06-10 17:58:44,69.82,1.029,2:28:25,146,177,3,--,--,"28,2","40,6",153,136,"0,00","0,0","0,0",--,--,--,--,--,--,"0,0",--,--,--,--,--,--,--,0:00,"0,0",--,0:00,No,--,--,--,--
running,2018-06-08 18:30:06,6.01,335,35:21,150,171,2.6,169,208,5:53,4:06,74,75,"1,00","0,0","0,0",--,--,--,--,--,--,"0,0",--,--,--,--,--,--,--,0:00,"0,0",--,0:00,No,--,--,--,--
running,2018-06-07 18:00:11,4.1,215,24:50,139,159,2.1,169,178,6:03,5:04,32,24,"0,98","0,0","0,0",--,--,--,--,--,--,"0,0",--,--,--,--,--,--,--,0:00,"0,0",--,0:00,No,--,--,--,--
running,2018-06-06 16:15:18,8.61,452,46:41,151,179,2.9,179,200,5:25,4:15,35,34,"1,03","0,0","0,0",--,--,--,--,--,--,"0,0",--,--,--,--,--,--,--,0:00,"0,0",--,0:00,No,--,--,--,--
running,2018-06-05 19:35:27,5.16,271,28:00,149,162,2.5,182,194,5:25,4:46,7,--,"1,01","0,0","0,0",--,--,--,--,--,--,"0,0",--,--,--,--,--,--,--,0:00,"0,0",--,0:00,No,--,--,--,--
